shock,reinforcement,external_market,dst,mode,hops,uses_external,slippage_frac,slippage_usd_on_5k,protocol_fee_eth,hop_fee_legs,exhausted,tokens_out,link6_drawdown,excess_slippage_vs_healthy
0.9,none,arbitraged,12,PARENT_SOURCED,4,True,0.10571936465366727,528.5968232683364,0.0,4,False,4512220.119092633,0.8785191860126957,0.04881393029442471
0.9,none,arbitraged,12,DEPTH_CAPPED(3),4,True,0.10571936465366727,528.5968232683364,0.0,4,False,4512220.119092633,0.8785191860126957,0.04881393029442471
0.9,fee_funded_3_rounds,independent,10,FULL_LINE,11,False,0.44777980277477725,2238.8990138738864,0.0125,11,False,21383197.925113264,0.933891071571606,0.3336347485788681
0.9,fee_funded_3_rounds,independent,10,PARENT_SOURCED,11,False,0.44777980277477725,2238.8990138738864,0.0125,11,False,21383197.925113264,0.933891071571606,0.41044975478132106
0.9,fee_funded_3_rounds,independent,10,DEPTH_CAPPED(3),11,False,0.44777980277477725,2238.8990138738864,0.0125,11,False,21383197.925113264,0.933891071571606,0.41044975478132106
0.9,fee_funded_3_rounds,independent,12,FULL_LINE,13,False,0.5251155556619714,2625.577778309857,0.0125,13,False,18388585.053320624,0.933891071571606,0.3942653296711336
0.9,fee_funded_3_rounds,independent,12,PARENT_SOURCED,13,False,0.5251155556619714,2625.577778309857,0.0125,13,False,18388585.053320624,0.933891071571606,0.4682101213027289
0.9,fee_funded_3_rounds,independent,12,DEPTH_CAPPED(3),13,False,0.5251155556619714,2625.577778309857,0.0125,13,False,18388585.053320624,0.933891071571606,0.4682101213027289
0.9,fee_funded_3_rounds,arbitraged,10,FULL_LINE,11,False,0.21253900937352255,1062.6950468676127,0.0125,11,False,3946399.618674241,0.8793262017476206,0.0983939551776134
0.9,fee_funded_3_rounds,arbitraged,10,PARENT_SOURCED,2,True,0.07259552164642447,362.97760823212235,0.0,2,False,4647733.314153928,0.8793262017476206,0.03526547365296828
0.9,fee_funded_3_rounds,arbitraged,10,DEPTH_CAPPED(3),2,True,0.07259552164642447,362.97760823212235,0.0,2,False,4647733.314153928,0.8793262017476206,0.03526547365296828
0.9,fee_funded_3_rounds,arbitraged,12,FULL_LINE,13,False,0.23642354594929826,1182.1177297464912,0.0125,13,False,3826701.0848333915,0.8793262017476206,0.10557331995846042
0.9,fee_funded_3_rounds,arbitraged,12,PARENT_SOURCED,4,True,0.10531576933240261,526.578846662013,0.0,4,False,4483754.178008858,0.8793262017476206,0.04841033497316005
0.9,fee_funded_3_rounds,arbitraged,12,DEPTH_CAPPED(3),4,True,0.10531576933240261,526.578846662013,0.0,4,False,4483754.178008858,0.8793262017476206,0.04841033497316005
0.9,cap_max,independent,10,FULL_LINE,11,False,0.17030299464430776,851.5149732215388,0.0125,11,False,6960139.925953812,0.9330621542910261,0.05615794044839861
0.9,cap_max,independent,10,PARENT_SOURCED,11,False,0.17030299464430776,851.5149732215388,0.0125,11,False,6960139.925953812,0.9330621542910261,0.13297294665085158
0.9,cap_max,independent,10,DEPTH_CAPPED(3),11,False,0.17030299464430776,851.5149732215388,0.0125,11,False,6960139.925953812,0.9330621542910261,0.13297294665085158
0.9,cap_max,independent,12,FULL_LINE,13,False,0.21282645625799146,1064.1322812899573,0.0125,13,False,6603420.254728433,0.9330621542910261,0.08197623026715362
0.9,cap_max,independent,12,PARENT_SOURCED,13,False,0.21282645625799146,1064.1322812899573,0.0125,13,False,6603420.254728433,0.9330621542910261,0.1559210218987489
0.9,cap_max,independent,12,DEPTH_CAPPED(3),13,False,0.21282645625799146,1064.1322812899573,0.0125,13,False,6603420.254728433,0.9330621542910261,0.1559210218987489
0.9,cap_max,arbitraged,10,FULL_LINE,11,False,0.11940622133031575,597.0311066515787,0.0125,11,False,3264764.4133417937,0.9195377021406721,0.005261167134406608
0.9,cap_max,arbitraged,10,PARENT_SOURCED,2,True,0.06410174984340333,320.50874921701666,0.0,2,False,3469803.4163221624,0.9195377021406721,0.02677170184994715
0.9,cap_max,arbitraged,10,DEPTH_CAPPED(3),2,True,0.06410174984340333,320.50874921701666,0.0,2,False,3469803.4163221624,0.9195377021406721,0.02677170184994715
