curve,strategy,capital_multiple,capital_parent,capital_usd,trial,attacker_avg,best_honest_avg,is_top,snipe_fees,hop_fees,protocol_fees,price_impact_loss,round_trip_loss,mark_to_market,capital_deployed,cost_parent,cost_usd,cost_pct_of_capital,fee_share_of_cost,win_h0.0025,win_h0.005,win_h0.01
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,20,3190846.003653131,6637894.198706663,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,21,3190846.003653131,5093116.429257048,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,22,3190846.003653131,7639345.90694145,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,23,3190846.003653131,6010947.913395474,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,24,3190846.003653131,7303593.538046163,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,25,3190846.003653131,5620484.847439504,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,26,3190846.003653131,6336953.220677019,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,27,3190846.003653131,6098701.644926184,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,28,3190846.003653131,5939214.240490282,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,29,3190846.003653131,6776174.299345091,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,30,3190846.003653131,6619178.628294823,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,31,3190846.003653131,6124631.824095147,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,32,3190846.003653131,6347525.652579841,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,33,3190846.003653131,6676412.222629171,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
